Format,Mail,Date
ZIP,76,2024-05-18
cloud optimized geotiff,1,2024-05-18
Fehlt,65,2024-05-19
API,97,2024-05-19
GPKG,3,2024-05-19
HTML,184,2024-05-19
RDF XML,5,2024-05-19
SERVICE,238,2024-05-19
SPARQL,70,2024-05-19
Unbekannt,4,2024-05-19
WMS,236,2024-05-19
WMTS,215,2024-05-19
ZIP,76,2024-05-19
cloud optimized geotiff,1,2024-05-19
Fehlt,65,2024-05-20
API,97,2024-05-20
GPKG,3,2024-05-20
HTML,184,2024-05-20
RDF XML,5,2024-05-20
SERVICE,238,2024-05-20
SPARQL,70,2024-05-20
Unbekannt,4,2024-05-20
WMS,236,2024-05-20
WMTS,215,2024-05-20
ZIP,76,2024-05-20
cloud optimized geotiff,1,2024-05-20
Fehlt,65,2024-05-21
API,97,2024-05-21
GPKG,3,2024-05-21
HTML,184,2024-05-21
RDF XML,5,2024-05-21
SERVICE,238,2024-05-21
SPARQL,70,2024-05-21
Unbekannt,4,2024-05-21
WMS,236,2024-05-21
WMTS,215,2024-05-21
ZIP,76,2024-05-21
cloud optimized geotiff,1,2024-05-21
Fehlt,65,2024-05-22
API,96,2024-05-22
GPKG,3,2024-05-22
HTML,184,2024-05-22
RDF XML,5,2024-05-22
SERVICE,237,2024-05-22
SPARQL,70,2024-05-22
Unbekannt,4,2024-05-22
WMS,235,2024-05-22
WMTS,214,2024-05-22
ZIP,75,2024-05-22
cloud optimized geotiff,1,2024-05-22
Fehlt,65,2024-05-23
API,97,2024-05-23
GPKG,3,2024-05-23
HTML,184,2024-05-23
RDF XML,5,2024-05-23
SERVICE,238,2024-05-23
SPARQL,70,2024-05-23
Unbekannt,4,2024-05-23
WMS,236,2024-05-23
WMTS,215,2024-05-23
ZIP,76,2024-05-23
cloud optimized geotiff,1,2024-05-23
Fehlt,65,2024-05-24
API,97,2024-05-24
GPKG,3,2024-05-24
HTML,184,2024-05-24
RDF XML,5,2024-05-24
SERVICE,238,2024-05-24
SPARQL,70,2024-05-24
Unbekannt,4,2024-05-24
WMS,236,2024-05-24
WMTS,215,2024-05-24
ZIP,76,2024-05-24
cloud optimized geotiff,1,2024-05-24
Fehlt,65,2024-05-25
